doc_a_filename,doc_b_filename,contradiction_type,severity,claim_a_snippet,claim_b_snippet,section_a,section_b,is_contradiction,labeler_note
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","numerical_discrepancy","critical","B. Where the client is a trust, the banking company and financial institution, as the case may be, shall identify the beneficial owners of the client and take reasonable measures to verify the identity of such persons, through the identity of the settler of the trust, the trustee, the protector, the beneficiaries with 15% or more interest in the trust and any other natural person exercising ultimate effective control over the trust through a chain of control or ownership.","d. Where the customer is a trust, the identification of beneficial owner(s) shall include identification of the author of the trust, the trustee, the beneficiaries with 10 percent or more interest in the trust and any other natural person exercising ultimate effective control over the trust through a chain of control or ownership.","Annex-VI - Customer Identification Procedure ( CIP ) - Paragraph 3","CHAPTER I - PRELIMINARY - Paragraph 3(a)(iv)(d)","true","Direct mathematical mismatch in the equity/interest threshold required to classify a trust beneficiary as a Beneficial Owner, which was reduced from 15% in 2013 to 10% in 2025."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","stale_reference","moderate","All NBFCs were advised that, while opening accounts based on Aadhaar also, NBFCs must satisfy themselves about the current address of the customer by obtaining required proof of the same as per extant instructions.","Further, in such a case, if customer wants to provide a current address, different from the address as per the identity information available in the Central Identities Data Repository, he may give a self-declaration to that effect to the RE.","II. Know Your Customer (KYC) Guidelines - Paragraph 11","Chapter VI - Customer Due Diligence (CDD) Procedure - Paragraph 16","true","Pattern A (Policy Conflict): The 2013 framework mandated obtaining formal documentary proof of address even when an Aadhaar document was used. The 2025 update relaxes this by allowing a simple self-declaration for a differing current address during e-KYC."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","moderate","Banks should refuse to enter into a correspondent relationship with a “shell bank” (i.e. a bank which is incorporated in a country where it has no physical presence and is unaffiliated to any regulated financial group).","Physical presence means meaningful mind and management located within a country. The existence simply of a local agent or low-level staff does not constitute physical presence.","Annex-VI - Guidelines issued by DBOD to banks","Chapter I - PRELIMINARY - Paragraph 3(a)(xv)","true","Pattern C (Rule Scope Mismatch): The 2025 definition expands the scope of what defines a 'Shell Bank' by explicitly ruling out local agents or low-level staff as proof of 'physical presence', clarifying the older, looser 2013 definition."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","stale_reference","critical","Consequently, NBFCs were advised to initiate steps for allotting Unique Customer Identification Code (UCIC) to all their customers while entering into any new relationships.","(b) In terms of provision of Rule 9(1A) of the PML Rules, the REs shall capture customer’s KYC records and upload onto CKYCR within 10 days of commencement of an account-based relationship with the customer.","II. Know Your Customer (KYC) Guidelines - Paragraph 11A","Chapter X - Other Instructions - Paragraph 56","true","Pattern A (Timeline Update): The 2025 directive introduces a strict 10-day regulatory deadline for uploading customer data to the centralized CKYCR database, whereas the 2013 guidelines focused on general internal UCIC generation."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","critical","(i) Passport (ii) PAN card (iii) Voter’s Identity Card (iv) Driving licence (v) Identity card (subject to the bank’s satisfaction) (vi) Letter from a recognized public authority or public servant verifying the identity and residence of the customer to the satisfaction of bank","For undertaking CDD, REs shall obtain the following from an individual while establishing an account-based relationship... (a) the Aadhaar number... and (b) the Permanent Account Number or the equivalent e-document thereof or Form No. 60 as defined in Income-tax Rules, 1962","Annex-VIII - Customer Identification Procedure","Chapter VI - Customer Due Diligence (CDD) Procedure - Paragraph 16","true","Pattern C (Rule Scope Mismatch): The 2013 framework treated the PAN card as merely one of many optional identity documents. The 2025 directive elevates PAN (or Form 60) to a universally mandatory requirement."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","critical","Examples of customers requiring higher due diligence may include (a) non-resident customers, (b) high net worth individuals, (c) trusts, charities, NGOs and organizations receiving donations...","REs shall ensure that in case of customers who are non-profit organisations, the details of such customers are registered on the DARPAN Portal of NITI Aayog. If the same are not registered, RE shall register the details on the DARPAN Portal.","Annex-VI - Customer Acceptance Policy (CAP) - Paragraph 2","Chapter VII - Record Management - Paragraph 46A","true","Pattern C (Rule Scope Mismatch): The 2025 directive introduces a new mandatory verification gate for NGOs/NPOs (registration on the DARPAN Portal), whereas legacy 2013 policies only flagged them generally as requiring higher due diligence."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","stale_reference","critical","Further, NBFCs should scan all existing accounts to ensure that no account is held by or linked to any of the entities or individuals included in the list.","The aforementioned lists, i.e., UNSC Sanctions Lists and lists as available in the Schedules to the Prevention and Suppression of Terrorism (Implementation of Security Council Resolutions) Order, 2007, as amended from time to time, shall be verified on daily basis and any modifications to the lists in terms of additions, deletions or other changes shall be taken into account by the REs for meticulous compliance.","IV. Combating financing of terrorism - Paragraph 1","Chapter IX - Requirements/obligations under International Agreements - Paragraph 51","true","Pattern A (Timeline Update): The cadence for screening customer databases against terrorist sanction lists was upgraded from an unspecified instruction ('scan all existing accounts') in 2013 to a strict, mandatory 'daily basis' verification in 2025."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","policy_conflict","moderate","(i) Certificate of incorporation and Memorandum & Articles of Association (ii) Resolution of the Board of Directors to open an account and identification of those who have authority to operate the account (iii) Power of Attorney granted to its managers, officers or employees to transact business on its behalf (iv) Copy of PAN allotment letter (v) Copy of the telephone bill","For opening an account of a company, certified copies of each of the following documents or the equivalent e-documents thereof shall be obtained: ... (f) the names of the relevant persons holding senior management position;","Annex-VIII - Customer Identification Procedure","Chapter VI - Customer Due Diligence (CDD) Procedure - Paragraph 30","true","Pattern C (Rule Scope Mismatch): The 2025 directive expands the mandatory CDD scope for corporate entities to explicitly include identifying and obtaining the names of persons holding senior management positions, which was absent from the 2013 corporate onboarding checklist."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","numerical_discrepancy","moderate","NBFCs are further advised that such review of risk categorisation of customers should be carried out at a periodicity of not less than once in six months.","Further, the periodicity of risk assessment exercise shall be determined by the Board or any committee of the Board of the RE to which power in this regard has been delegated, in alignment with the outcome of the risk assessment exercise. However, it should be reviewed at least annually.","II. Know Your Customer (KYC) Guidelines - Paragraph 9","CHAPTER IV - Risk Management - Paragraph 5A","true","Direct mathematical mismatch in the baseline frequency limit for reviewing a customer's risk assessment, shifting from every 6 months in 2013 to at least 12 months (annually) in 2025."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","numerical_discrepancy","critical","Hence, it has been decided to further simplify the KYC procedure for opening accounts by NBFCs for those persons who intend to keep balances not exceeding rupees fifty thousand (Rs. 50,000/-) in all their accounts taken together and the total credit in all the accounts taken together is not expected to exceed rupees one lakh (Rs. 1,00,000/-) in a year.","Notwithstanding anything contained in paragraph 16 and as an alternative thereto, in case an individual who desires to open a bank account, banks shall open a ‘Small Account’, which entails the following limitations: i. the aggregate of all credits in a financial year does not exceed rupees one lakh; ii. the aggregate of all withdrawals and transfers in a month does not exceed rupees ten thousand; and iii. the balance at any point of time does not exceed rupees fifty thousand.","II. Know Your Customer (KYC) Guidelines - Paragraph 4","Chapter VI - Customer Due Diligence (CDD) Procedure - Paragraph 23","true","Numerical mismatch stemming from the introduction of a new strict boundary cap: a 'rupees ten thousand' monthly limit on withdrawals and transfers which did not numerically exist in the 2013 framework for simplified accounts."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","The Suspicious Transaction Report (STR) should be furnished within 7 days of arriving at a conclusion that any transaction, whether cash or noncash, or a series of transactions integrally connected are of suspicious nature.","REs shall furnish to the Director, Financial Intelligence Unit-India (FIU-IND), information referred to in rule 3 of the PML (Maintenance of Records) Rules, 2005 in terms of rule 7 thereof... make use of by REs which are yet to install/adopt suitable technological tools for extracting CTR/STR...","Section III, Para 5","Chapter VIII, Para 47-48","false","Both documents mandate the reporting of suspicious transactions to the FIU-IND, maintaining consistent anti-money laundering obligations."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","NBFCs may not put any restrictions on operations in the accounts where an STR has been made. However, it should be ensured that there is no tipping off to the customer at any level.","REs shall not put any restriction on operations in the accounts merely on the basis of the STR filed... Where RE forms a suspicion of money laundering or terrorist financing, and it reasonably believes that performing the CDD process will tip-off the customer, it shall not pursue the CDD process, and instead file an STR with FIU-IND.","Section III, Para 6","Chapter III, Para 11A & Chapter VIII, Para 49","false","Both documents explicitly prohibit tipping off the customer regarding suspicious transaction reporting or CDD, demonstrating a persistent security protocol."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","The Customer Acceptance Policy must ensure that explicit guidelines are in place on the following aspects of customer relationship in the bank. (i) No account is opened in anonymous or fictitious/ benami name(s);","Without prejudice to the generality of the aspect that Customer Acceptance Policy may contain, REs shall ensure that: (a) No account is opened in anonymous or fictitious/benami name.","Annex VI, Para 2","Chapter III, Para 10","false","Both circulars strictly prohibit the opening of accounts in anonymous or fictitious/benami names under their Customer Acceptance Policies."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","NBFCs (including RNBCs) should appoint a senior management officer to be designated as Principal Officer... The Principal Officer will be responsible for timely submission of CTR and STR to FIU-IND;","The Principal Officer shall be responsible for ensuring compliance, monitoring transactions, and sharing and reporting information as required under the law/regulations.","Section II, Para 15 & Section III, Para 5","Chapter II, Para 7","false","Both texts require the designation of a Principal Officer tasked with monitoring and reporting transactions to the FIU-IND, keeping the core role intact."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","Ongoing monitoring is an essential element of effective KYC procedures. Banks can effectively control and reduce their risk only if they have an understanding of the normal and reasonable activity of the customer so that they have the means of identifying transactions that fall outside the regular pattern of activity.","REs shall undertake on-going due diligence of customers to ensure that their transactions are consistent with their knowledge about the customers, customers’ business and risk profile, the source of funds / wealth.","Annex VI, Para 4","Chapter VI, Part V, Para 35","false","Both frameworks establish the fundamental requirement for ongoing transaction monitoring to ensure consistency with the customer's known profile."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","NBFCs should take appropriate steps to evolve a system for proper maintenance and preservation of account information in a manner that allows data to be retrieved easily and quickly whenever required...","REs shall... evolve a system for proper maintenance and preservation of account information in a manner that allows data to be retrieved easily and quickly whenever required or when requested by the competent authorities;","Section III, Para 4","Chapter VII, Para 46(f)","false","Both regulations require institutions to maintain a system that allows for easy and quick retrieval of preserved account information."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","The decision to open an account for PEP should be taken at a senior level which should be clearly spelt out in Customer Acceptance policy. Banks should also subject such accounts to enhanced monitoring on an ongoing basis.","REs shall have the option of establishing a relationship with PEPs... provided that... the approval to open an account for a PEP shall be obtained from the senior management; (d) all such accounts are subjected to enhanced monitoring on an on-going basis;","Annex VII","Chapter VI, Part VI, Para 41.A","false","Both documents mandate that opening accounts for Politically Exposed Persons (PEPs) requires senior management approval and enhanced ongoing monitoring."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","The information collected from the customer for the purpose of opening of account should be kept as confidential and not divulge any details thereof for cross selling or any other purposes.","Information collected from customers for the purpose of opening of account shall be treated as confidential and details thereof shall not be divulged for the purpose of cross selling, or for any other purpose without the express permission of the customer.","Section II, Para 2","Chapter X, Para 55(b)","false","Both circulars emphasize the confidentiality of customer information collected during account opening, specifically prohibiting its use for cross-selling without consent."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","NBFCs are advised that before opening any new account it should be ensured that the name/s of the proposed customer does not appear in the list [United Nations' Security Council Resolutions].","Suitable system is put in place to ensure that the identity of the customer does not match with any person or entity, whose name appears in the sanctions lists indicated in Chapter IX of this MD.","Section IV, Para 1","Chapter III, Para 10(i)","false","Both rules require entities to screen prospective customers against designated sanctions/terrorist lists before opening an account."
"RBI_Master_Circular_KYC_2013.pdf","RBI_Master_Direction_KYC_2025.pdf","","","Banks should refuse to enter into a correspondent relationship with a “shell bank” (i.e. a bank which is incorporated in a country where it has no physical presence and is unaffiliated to any regulated financial group).","Correspondent relationship shall not be entered into or continued with a shell bank.","Annex VII","Chapter X, Para 63(g)","false","Both versions strictly prohibit the establishment or continuation of correspondent banking relationships with shell banks."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","numerical_discrepancy","critical","The Total Priority Sector target of 40 percent for foreign banks with less than 20 branches has to be achieved in a phased manner i.e., 32 percent in 2015-16, 34 percent in 2016-17, and reaching 40 percent by 2019-20.","Foreign Banks with less than 20 branches are mandated to achieve a Total Priority Sector target of 40 per cent of ANBC or CEOBSE, whichever is higher; out of which up to 32% can be in the form of Export Credit.","Chapter II - Targets/Sub-targets - Foreign banks timeline","Chapter II - Targets/Sub-targets for Priority sector - Foreign banks target","true","Direct mismatch in the implementation timeline and structure of total priority sector targets for foreign banks with less than 20 branches."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","definitional_conflict","critical","A micro enterprise is an enterprise where the investment in plant and machinery does not exceed ₹25 lakh for manufacturing and ₹10 lakh for the service sector.","An enterprise shall be classified as a micro enterprise where the investment in plant and machinery or equipment does not exceed ₹2.5 crore and turnover does not exceed ₹10 crore.","Chapter I - Definitions","Chapter II - Micro, Small and Medium Enterprises (MSMEs)","true","Definitional conflict regarding what constitutes a Micro Enterprise. The 2025 directive introduces a significantly higher investment limit and a new turnover criteria, discarding the manufacturing vs service sector distinction."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","numerical_discrepancy","moderate","A target of 8 percent of ANBC or Credit Equivalent Amount of Off-Balance Sheet Exposure, whichever is higher, has been prescribed for Small and Marginal Farmers, to be achieved in a phased manner i.e. 7 percent by March 2016 and 8 percent by March 2017.","The targets and sub-targets set under priority sector lending... Small and Marginal Farmers target is fixed at 10 percent of ANBC or CEOBSE for Domestic Commercial Banks.","Chapter II - Targets/Sub-targets - Small and Marginal Farmers","Chapter II - Targets/Sub-targets for Priority sector - Small and Marginal Farmers","true","Numerical discrepancy in the sub-target for Small and Marginal Farmers, which shifted from a phased 8% limit in 2015 to a flat 10% in 2025."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","numerical_discrepancy","critical","Loans to individuals up to ₹ 28 lakh in metropolitan centres (with population of ten lakh and above) and loans up to ₹ 20 lakh in other centres for purchase/construction of a dwelling unit per family provided the overall cost of the dwelling unit does not exceed ₹ 35 lakh and ₹ 25 lakh respectively.","Loans to individuals up to ₹ 35 lakh in metropolitan centres (with population of ten lakh and above) and up to ₹ 25 lakh in other centres for purchase/construction of a dwelling unit per family provided the overall cost of the dwelling unit does not exceed ₹ 45 lakh and ₹ 30 lakh respectively.","Chapter III - Housing","Chapter II - Housing","true","Numerical discrepancy in the eligibility limits for housing loans under priority sector, with the 2025 circular raising both the loan limits and the overall dwelling cost thresholds."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","stale_reference","critical","For priority sector classification, banks must verify the investment in plant and machinery as per the documents submitted by the borrower under the MSMED Act, 2006.","All such enterprises are required to register online on the Udyam Registration portal and obtain 'Udyam Registration Certificate'. For Priority Sector Lending (PSL) purposes banks shall be guided by the classification recorded in the Udyam Registration Certificate (URC).","Chapter III - Micro, Small and Medium Enterprises","Chapter II - Micro, Small and Medium Enterprises (MSMEs)","true","Procedural conflict. The 2025 framework mandates the Udyam Registration Certificate for MSME classification, replacing the older documentary reliance on standalone investment proofs from 2015."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","numerical_discrepancy","critical","Loans to farmers up to ₹ 50 lakh against pledge/hypothecation of agricultural produce (including warehouse receipts) for a period not exceeding 12 months.","Loans to farmers up to ₹ 75 lakh against pledge/hypothecation of agricultural produce (including Electronic Negotiable Warehouse Receipts) for a period not exceeding 12 months.","Chapter III - Agriculture - Produce pledge loans","Chapter II - Agriculture - Produce pledge loans","true","Direct numerical discrepancy in the cap for priority sector classification of loans against pledge/hypothecation of agricultural produce, which increased from ₹50 lakh to ₹75 lakh."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","numerical_discrepancy","critical","The priority sector lending targets for Primary (Urban) Co-operative Banks (UCBs) is fixed at 40 percent of Adjusted Net Bank Credit (ANBC).","The priority sector lending targets for UCBs shall be as follows: Total Priority Sector at 60% of ANBC or CEOBSE, whichever is higher.","Chapter II - Targets/Sub-targets - UCB total PSL","Chapter II - Targets/Sub-targets for Priority sector - UCB total PSL","true","Direct numerical mismatch. The mandatory total priority sector lending target for UCBs was significantly elevated from 40% in 2015 to 60% in 2025."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","numerical_discrepancy","moderate","Bank loans up to a limit of ₹ 15 crore to borrowers for purposes like solar based power generators, biomass based power generators, wind mills, micro-hydel plants and for non-conventional energy based public utilities.","Bank loans up to a limit of ₹ 30 crore to borrowers for purposes like solar based power generators, biomass based power generators, wind mills, micro-hydel plants and for non-conventional energy based public utilities.","Chapter III - Renewable Energy","Chapter II - Renewable Energy","true","Numerical discrepancy in the priority sector limit for corporate renewable energy projects, doubling from ₹15 crore in 2015 to ₹30 crore in 2025."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","policy_conflict","critical","Enterprises without a valid registration or tax documentation (such as PAN or VAT/Service Tax) cannot be formally classified under MSME for priority sector lending benefits.","The certificate issued on Udyam Assist Platform (UAP) to Informal Micro Enterprises (IMEs) is treated at par with URC for the purpose of availing PSL benefits, even without PAN or GSTIN.","Chapter III - MSME Guidelines","Chapter II - Micro, Small and Medium Enterprises (MSMEs)","true","Rule scope conflict. The 2025 update allows Informal Micro Enterprises (IMEs) without standard tax IDs to qualify for PSL via the Udyam Assist Platform, overriding the stricter formal requirements of 2015."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","stale_reference","moderate","For the year 2015-16, the shortfall in achieving priority sector target/sub-targets will be assessed based on the position as on March 31, 2016.","The priority sector non-achievement will be assessed on a quarterly average basis at the end of the respective financial year.","Chapter II - Shortfall Assessment","Chapter I - Preliminary","true","Conflict in assessment methodology. The 2015 framework allowed for end-of-year absolute assessment initially, whereas the 2025 framework mandates a quarterly average assessment for calculating shortfall."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","policy_conflict","moderate","The distinction between direct and indirect agriculture is dispensed with, and all agricultural loans will be classified uniformly under Agriculture.","Agriculture sector lending will be divided into three sub-categories: Farm credit, Agriculture infrastructure and Ancillary activities, each with specific eligibility criteria.","Chapter III - Agriculture","Chapter II - Categories under Priority Sector","true","Structural conflict in categorization. While 2015 removed the direct/indirect distinction, 2025 explicitly subdivides agriculture into three distinct sub-categories for tracking and limits."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","stale_reference","moderate","Credit Equivalent Amount of Off-Balance Sheet Exposure (CEOBSE) is calculated based on the current exposure method as per the extant capital adequacy guidelines.","For the purpose of calculation of Credit Equivalent of Off-Balance Sheet Exposures (CEOBSE), banks shall be guided by the circular on ‘Large Exposures Framework’ issued by Department of Regulation, RBI vide DBR.No.BP.BC.43/21.01.003/2018-19.","Chapter II - Computation of ANBC","Chapter II - Computation of Adjusted Net Bank Credit","true","Stale reference conflict. The foundational basis for computing CEOBSE changed from standard capital adequacy instructions in 2015 to the specific 2018 'Large Exposures Framework' mapped in 2025."
"RBI_Master_Circular_PSL_2015.pdf","RBI_Master_Direction_PSL_2025.pdf","numerical_discrepancy","critical","Loans to corporate farmers, farmers' producer organizations/companies of individual farmers, partnership firms and co-operatives of farmers directly engaged in Agriculture and Allied Activities up to an aggregate limit of ₹ 2 crore.","Loans to corporate farmers, farmers' producer organizations/companies of individual farmers, partnership firms and co-operatives of farmers directly engaged in Agriculture and Allied Activities up to an aggregate limit of ₹ 5 crore.","Chapter III - Agriculture - Corporate farmers and FPOs","Chapter II - Agriculture - Corporate farmers and FPOs","true","Direct mathematical mismatch in the limit allowed for corporate farmers and FPOs to qualify under PSL, rising from ₹2 crore to ₹5 crore."
